"","x"
"82","RT @PolitixGal: Top 5 Reasons You CANNOT Vote Hillary Clinton - Crowder.  https://t.co/KcmMObC4MY"
"83","RT @TheDailyShow: Donald Trump repeatedly boasts about his properties during his first debate with Hillary Clinton. https://t.co/ewerrcCY1I"
"84","RT @Liz_Cheney: National securityemailshealth...Hillary Clinton cant tell the difference anymore between telling lies & the truth https:"
"85","RT @dmartosko: Okayyyyyy..... Hillary backer Mark Cuban says his 'Girls Gone Wild' series DIDN'T objectify women https://t.co/00h6pRkRuE vi"
"86","RT @ABC: Searches for Hillary Clinton and Donald Trump on Google before vs. after Monday's debate. https://t.co/M7uNqDPCGj https://t.co/Ye6"
"87","RT @Womanwhovotes: A win for @HillaryClinton: The first presidential debate | The Economist #uspoli #AddWomenChangePolitics  https://t.co/i"
"88","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"89","Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 presidential electi... https://t.co/1zHkZDju0V"
"90","RT @joelpollak: 5 Times Lester Holt Shilled for Hillary Clinton at First Debate https://t.co/V5P513FH9I"
"91","RT @woodruffbets: Undecided Pennsylvania voters who didn't love Hillary said they liked her more after she criticized private prisons https"
"92","RT @HuffingtonPost: Donald Trump couldn't stop interrupting Hillary Clinton on #debatenight https://t.co/qyQsF7h8ae https://t.co/O2JewyqKri"
"93","MoJo: Here's Why Hillary Clinton Emails Didn't Get Much Attention Last Night https://t.co/PgX400p0lZ"
"94","RT @susandominus: Most subversive, feminist moment of debate: Hillary Clinton essentially calling Trump crazy. My take: https://t.co/xa7PM5"
"95","RT @HillaryClinton: Hillary was the winner of the first presidential debateand newspapers across America agree. #SheWon https://t.co/jaxTd"
"96","RT @mianelsonn: Hillary Clinton is a fake friend and Donald trump is your honest friend who will tell you ur mascara is clumpy"
"97","Please, BOYS, give Hillary Clinton her due! She smiled while Trump was flailing, sputtering. She was strong inbetwe https://t.co/DIlTrWiqe9"
"98","RT @RollingStone: Donald Trump was beaten by his own ego in his first debate against Hillary Clinton https://t.co/Z35etWrza9 https://t.co/Y"
"99","Poll puts Clinton ahead as campaigns seek debate bounce - The debate of the century delivered. https://t.co/FORcDEWvkH"
"100","CNN Latest: Day after debate, Clinton gloats and Trump fumes: As soon as the first debate of the 2016 preside... https://t.co/AD63Zt2tim"
"101",".@ppppolls POLL: 47% of 18-29 yr-olds say they're more likely to vote for Hillary Clinton after last night's #debate https://t.co/b48zXk218A"
"102","Timely & hilarious image. In case you missed the first debate, here's what Hillary did for 90 minutes (Image) https://t.co/OwEG5tRuEN"
"103","RT @SportsTalkJoe: Hillary Clinton on her debate strategy: ""I plan to murder Trump just like I murdered those 4 innocent Americans in Bengh"
"104","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"105","RT @RealMuckmaker: Fox News' Brit Hume Debate Analysis: Hillary Clinton 'Not Necessarily Attractive' https://t.co/1RBlHnDoZ7 via @crooksand"
"106","RT @MikePenceVP: Lester Holt negative questions to Trump:
Tax Returns
Birther issue
Iraq War
Hillary Presidential Looks

Negative questions"
"107","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"108","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"109","Clinton Debate 'Cleaner' Swoops In, Proves Hillary Cheated https://t.co/U2bqXwRUia via @MadWorldNews"
"110","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"111","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"112","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"113","RT @KellyannePolls: 305 economists oppose Hillary's economic plan. Economists have a message: Clinton's policies are wrong for America http"
"114","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
"115","RT @FoxNews: .@newtgingrich: 'Enormous, historic victory' for @realDonaldTrump https://t.co/z58wcEknxn"
"116","RT @jerryspringer: Hillary Clinton belongs in the White House. Donald Trump belongs on my show."
